s
4752
453,1519,73
4677,2342,70
2405,457,88
4684,3028,27
1965,1281,93
3916,3678,40
1392,251,66
3762,3815,80
4307,1308,61
1743,1107,25
4368,4635,70
794,97,26
4679,4102,49
1780,1571,69
4685,461,17
541,4456,70
1751,1580,84
1409,3947,24
3594,4304,43
4017,1695,58
1171,2616,61
629,2137,92
513,146,20
974,876,93
1537,3489,51
1029,495,82
2507,2086,58
1118,3921,41
3595,4127,82
4705,610,71
4186,2787,93
3053,4353,47
1714,680,55
4115,4157,73
788,2808,20
1850,3802,70
2263,4740,93
2920,2904,66
848,4144,18
3308,2757,92
4479,3106,71
4654,2812,56
3684,2767,65
4024,1106,81
498,959,87
3156,2888,15
3793,1861,53
195,960,83
1480,3263,95
3595,218,46
3656,2924,81
272,4698,58
3886,2244,29
894,3223,56
2649,2067,80
781,173,75
2411,3151,39
3704,4607,10
1252,2391,44
3155,1212,76
2943,4355,78
4751,3693,61
275,3711,27
1189,3703,65
3736,4014,89
3854,1747,74
770,2601,69
142,4405,99
2996,4184,30
1298,1585,62
888,1294,43
453,3470,51
4304,1311,38
3452,2926,70
1389,1059,100
1182,1453,5
1025,1412,53
3547,737,54
3536,4332,96
3547,1609,30
620,2098,7
1292,797,56
561,776,26
1741,4617,17
2468,983,85
611,3561,25
4302,4146,54
2434,2426,91
1736,3892,34
4190,2341,63
1740,1289,1
2719,2272,80
4692,4126,12
4452,3287,14
1538,3630,9
3629,2298,48
1452,227,86
3893,603,100
3216,2790,8
439,3801,65
1486,406,38
38,2122,21
826,1217,3
2639,514,17
246,1259,46
2559,3812,63
1418,2204,89
3697,1508,61
882,2514,1
1239,4343,16
4492,2149,22
3341,2477,48
3519,1353,21
3507,2288,92
1797,924,39
1996,2558,64
414,1792,93
291,4530,9
3057,4633,88
2089,3532,45
2937,2776,2
3339,4691,19
905,2190,74
3018,4736,56
2041,673,11
1545,1059,71
734,4519,35
155,396,59
3823,837,44
2459,2393,72
3955,614,12
167,3763,40
2564,2362,40
3784,3819,96
4370,2274,40
4311,2101,13
2043,1794,14
4035,4052,27
3050,3487,42
63,1171,99
3737,903,38
2024,1312,15
3989,3161,72
1269,4009,13
4510,4582,17
1722,4568,89
2394,2177,1
1444,4058,41
1924,4696,24
4342,10,92
3104,1817,10
3203,1386,34
2200,4125,33
786,4013,96
561,1169,51
4723,586,57
115,3020,2
789,3812,26
161,2420,36
1925,3942,21
328,2776,73
3134,1304,98
2782,1442,6
4481,746,50
541,4450,24
806,3119,47
749,3278,100
3512,3688,93
2412,4217,53
2562,1639,4
864,1544,18
4688,644,7
4263,1526,40
1290,2490,11
3048,4237,20
3518,1867,37
1338,1558,81
4694,254,81
2523,978,25
2993,4033,55
355,2437,13
3212,3793,57
169,3105,45
686,1709,91
3958,1508,22
2303,4410,71
4043,1681,61
2122,2901,81
4190,1316,93
1906,4649,60
951,1842,96
2978,833,96
806,3437,60
3663,3638,27
2860,2705,13
4006,2753,22
3662,1341,16
2640,754,52
1481,2448,21
4002,2987,78
2631,4371,30
2623,3223,10
1300,4131,37
462,850,80
166,3686,37
4096,1795,60
671,208,1
4213,154,73
2709,3759,10
1636,2183,95
3494,1618,85
3991,2594,21
4015,1110,6
4457,1247,31
69,10,35
3674,2223,36
3343,318,50
4036,1864,56
1860,3221,36
2022,1515,99
3053,760,61
3402,4063,47
3725,3296,43
4395,1383,55
1535,69,19
1574,3661,5
2320,4058,29
645,3722,7
1370,4006,63
1313,1672,99
3919,636,52
3210,2628,2
4458,2281,80
1599,2416,71
4052,3354,52
568,4388,8
877,220,23
3492,3733,10
2884,879,83
1560,284,34
2316,3451,31
4605,1389,98
605,4575,44
3842,1188,37
1003,3337,36
720,266,66
2090,3997,78
937,628,69
3917,1961,84
2266,3340,15
4366,2080,58
4295,2145,53
124,1605,25
2612,393,25
3006,1676,11
2174,2822,71
4450,1698,100
3972,374,15
1382,864,10
2629,2963,82
2669,2659,25
4021,511,83
662,3834,69
4011,1914,9
3085,2302,76
968,2947,37
3748,1251,10
167,1025,53
321,3164,45
501,1655,73
2576,1469,59
4418,1091,67
1193,1575,39
4563,898,99
1669,933,39
4585,2581,54
580,3123,52
3417,3472,63
1873,2981,13
3465,3591,25
3362,2615,100
4384,841,32
1679,2002,41
1072,2015,46
1164,990,41
4221,1950,36
3011,902,58
657,2877,51
1135,3243,33
4582,1217,38
2781,2953,80
1395,3758,87
3506,810,33
1088,1548,57
2559,4383,76
2779,1091,55
1388,1281,85
4090,2156,25
2559,1676,31
3776,1770,85
2626,3625,22
2478,3602,52
836,3303,37
3840,1390,18
3380,634,37
1552,3226,61
2933,3739,3
2434,2627,26
717,1253,96
1917,620,31
2491,3928,3
2030,316,14
2974,199,24
1088,709,34
244,4418,2
445,3633,96
4635,1379,11
857,2283,30
705,3064,89
2307,617,41
3468,4716,47
4357,1313,92
4323,3841,12
1390,1151,35
3451,3522,90
1946,1734,51
2414,3541,24
4439,2940,21
231,1917,91
2244,1785,15
3298,3197,85
1110,2305,10
829,3299,64
2390,4577,31
4402,2485,33
2285,3032,33
1306,2776,11
289,3353,45
537,2920,27
3253,1309,20
49,3994,92
3694,3997,60
1503,258,90
1282,1797,17
1475,91,9
1754,3437,7
2910,733,90
128,3389,54
2320,2759,1
3789,2876,94
2032,280,89
712,88,41
1154,4708,87
4533,4442,48
939,1015,87
2219,3012,32
2446,1783,80
1712,3929,79
3552,2963,45
3639,2414,30
4708,1171,48
1263,1571,33
3773,1925,70
1858,3792,10
3749,3396,95
4486,1368,25
4240,484,83
3114,441,14
748,4493,1
4141,2467,8
269,161,42
3804,721,30
467,1486,62
1741,80,19
1598,84,90
4642,4318,5
2547,3161,37
2541,1420,18
4464,3531,22
3630,1537,82
4170,2214,47
3363,214,30
2345,3742,94
2969,606,2
529,4601,91
1644,40,52
10,633,37
3007,203,10
2342,1224,34
3726,1837,13
835,2304,39
3706,4015,97
3993,2053,11
3812,170,24
2177,2457,86
114,4716,62
622,3410,23
3965,279,57
3804,166,41
2498,4694,33
2308,3997,92
4279,177,89
1983,4376,75
658,2095,89
4123,2644,75
69,2526,24
3841,3742,46
833,3797,80
2309,438,26
292,4592,3
1198,1480,90
4514,1630,53
3429,241,42
2094,2947,69
3824,17,68
3136,167,35
3712,3045,84
3952,2937,37
2264,496,46
2156,4315,36
1203,2041,48
2741,42,46
3986,2282,76
4752,3747,24
4188,1328,81
3728,4070,32
915,332,100
2114,2541,30
2698,501,56
1828,3010,24
55,838,15
4032,4596,1
4120,3957,82
2838,4383,76
1631,305,39
4264,4673,66
3233,1828,34
3558,3132,55
201,707,81
2616,999,84
3711,2335,46
1859,3823,6
4290,2293,13
2947,1701,98
570,4490,61
3679,2882,87
4002,4152,68
1483,611,23
2589,1463,31
1218,3801,52
854,1266,10
3046,3418,70
3830,2824,70
4608,3393,77
4159,4036,61
3394,1901,83
4450,3817,91
99,2522,86
272,4096,18
1236,3116,58
2889,3939,20
3567,181,41
1809,4019,91
3479,899,93
2534,1025,58
3401,2442,33
4226,1774,50
4633,4698,63
1904,4402,7
927,2540,85
217,1856,52
4451,3805,11
3806,1815,64
4153,3961,35
1058,1654,28
1001,3513,90
745,887,81
1515,2225,12
861,1640,91
4207,4309,84
1360,1421,17
2102,3071,5
2766,849,69
880,88,91
2696,1125,31
2104,3347,17
182,1684,16
729,971,88
1344,407,25
3155,3768,86
2046,3667,4
1894,927,61
4438,1759,87
4452,2238,33
3951,2055,90
3186,3518,18
6,1496,21
905,2425,6
2196,2463,65
2134,2553,28
1015,3796,77
1721,3648,70
1117,2392,48
851,4047,38
3069,1934,45
1926,4578,44
2702,4729,68
1885,1343,54
499,3169,15
4288,2359,33
265,16,70
1849,2158,54
668,4659,15
3376,4352,22
4503,1142,18
1548,3109,34
681,399,30
4653,2135,57
511,27,27
2955,3110,3
3673,3706,25
452,3070,2
1435,776,60
4012,3520,60
4020,943,63
4489,2535,95
3269,767,57
3896,263,53
2683,372,79
2325,3249,60
3026,4497,33
3088,2954,9
3138,3174,79
329,4426,70
1847,3322,47
2889,4465,2
1423,1334,45
1601,3985,42
3207,1296,7
4730,4392,45
1510,2284,79
2249,3205,60
3638,3010,91
2135,1975,33
1946,1959,69
515,3978,91
1689,2314,21
1246,849,57
3642,2928,98
3396,74,35
2260,2535,51
66,1089,73
3029,93,98
4112,1478,43
3547,4151,59
2203,4109,89
2853,1277,35
34,2753,35
4272,4091,87
1978,956,46
913,1352,59
3163,316,56
1192,2899,10
3884,3895,17
3873,2498,16
363,2790,86
715,838,48
639,1231,74
433,1156,34
3771,3688,51
1424,3252,50
2290,2571,10
913,1320,42
2482,4712,4
663,343,53
4347,2073,69
964,2488,67
3722,3582,28
3344,4526,95
3778,3646,84
773,4362,55
2737,1665,96
2132,4064,23
3527,3945,46
1130,3677,51
804,553,40
4223,2652,94
1456,3053,66
3085,1948,35
3160,2708,36
4644,3143,8
4620,2843,28
3189,4423,21
1026,3393,51
1611,3711,97
4286,1264,87
3909,2205,24
1218,2457,11
1245,4154,100
2998,3840,59
2484,1706,73
2340,3950,16
3002,4548,53
1047,152,40
46,1969,36
2427,4692,12
800,393,94
4511,2403,4
243,2890,3
4526,4502,29
3710,4301,66
3336,1527,71
1529,155,69
2524,3150,87
4392,1789,81
518,802,11
624,2855,70
4478,518,85
2812,2754,93
1752,2974,20
4001,3644,25
4467,2982,58
761,3529,42
2159,405,90
54,1378,32
267,3545,11
3774,3988,42
3430,2954,2
2303,4451,68
3196,2708,15
2749,239,66
1528,296,40
261,4196,47
2991,4063,40
3028,4698,85
1616,1856,78
1131,720,81
2085,4374,18
4251,2286,84
2373,3842,13
3356,1985,97
699,756,56
2876,2615,16
3769,4264,84
1202,3969,70
829,2688,55
1102,3256,25
2043,4335,21
2554,2017,71
1428,2219,96
3765,4096,24
2749,3842,35
921,4684,49
1567,3224,6
2182,1417,50
160,2139,55
3056,1074,27
